Local;Visitante;RESULTADO;Jornada;Clas L;PJ L;PG L;PE V;PP L;GF L;GC L;Ptos L;Clas V;PJ V;PG V;PE V;PP V;GF V;GC V;Ptos V;Alavés;Athletic;Atlético;Barcelona;Betis;Cádiz;Celta;Eibar;Elche;Getafe;Granada;Huesca;Levante;Osasuna;R. Madrid;R. Sociedad;Sevilla;Valencia;Valladolid;Villarreal;F com L;F rec L;TA rec L;TR rec L;F com L;F rec L;TA rec L;TR rec L
Cádiz;Villarreal;;7;15;6;1;2;3;4;6;5;11;5;2;1;2;5;4;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;
Getafe;Granada;;7;4;5;3;1;1;5;3;10;9;4;2;1;1;8;2;7;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;;;;;;;;
R. Sociedad;Huesca;;7;6;5;3;1;1;7;8;10;10;4;2;1;1;5;3;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;;;;;;;;
Levante;Celta;;7;16;6;0;5;1;4;6;5;19;6;0;3;3;5;9;3;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
